track_name,track_genre,popularity,danceability,combined_score
SNEAKERS,k-pop,78,0.935,0.8069782617119386
Losing Interest - Remix,chill,58,0.963,0.8015537172818616
Dancing in My Room,sad,74,0.98,0.8013940310328689
I Believed,chill,41,0.962,0.8009445802260241
Losing Interest,chill,68,0.96,0.7997263061143489
Tumbando El Club,latino,40,0.971,0.7986278601127464
OTENAZI FASHION,metal,40,0.94,0.7982784876597234
Hunnybee,chill,65,0.956,0.7972897578909987
Typa Girl,k-pop,82,0.918,0.7966229317627
Typa Girl,k-pop,61,0.917,0.7960137947068625
my bad,chill,61,0.952,0.7948532096676484
Nallamdhana,k-pop,45,0.912,0.7929681094276747
Champagne Shots,chill,71,0.942,0.7887618391092728
LOSING INTEREST,sad,65,0.959,0.78860215286028
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",k-pop,76,0.904,0.7880950129809742
